step,truth_x,truth_y,truth_vx,truth_vy,meas_x,meas_y,est_x,est_y,est_vx,est_vy
58,0.050269,4.500639,-0.422223,0.584464,0.195210,4.407026,0.492084,4.894777,0.186111,1.084648
59,-0.166282,4.666033,-0.438609,0.770542,0.572844,4.226299,0.524651,4.828776,0.201590,0.891136
60,-0.289315,4.625889,-0.597256,0.728324,0.432559,3.668436,0.519604,4.637320,0.173632,0.579934
61,-0.263846,4.775556,-0.541786,0.801641,-0.815957,5.156342,0.233162,4.798839,-0.163341,0.694763
62,-0.372951,4.609800,-0.536045,0.717230,0.306458,4.466627,0.236955,4.778115,-0.141017,0.594714
63,-0.421994,4.720441,-0.562785,0.706846,-0.000207,4.187281,0.172764,4.691557,-0.196574,0.432743
64,-0.548454,4.694415,-0.419110,0.636676,-0.620096,4.394113,-0.020519,4.658322,-0.389156,0.347880
65,-0.621183,4.684340,-0.372837,0.532591,-1.297408,4.405130,-0.337427,4.628443,-0.697497,0.276153
66,-0.738290,4.603814,-0.405175,0.366580,0.125584,3.857514,-0.287543,4.476742,-0.564803,0.077260
67,-0.843438,4.600117,-0.236706,0.193548,-0.772413,5.118696,-0.440220,4.626886,-0.671502,0.235227
68,-0.898083,4.502490,-0.247505,0.346258,-1.205976,5.220582,-0.664245,4.778443,-0.845503,0.377240
69,-0.896966,4.660367,-0.225636,0.297821,-0.077536,4.772985,-0.598061,4.806471,-0.678313,0.366484
70,-0.902887,4.770905,-0.133221,0.379106,-1.578248,4.452287,-0.870766,4.755356,-0.905553,0.269140
71,-0.981862,4.730907,-0.220431,0.312004,-0.813888,4.978112,-0.928214,4.826247,-0.868832,0.317918
72,-1.004069,4.719505,-0.092885,0.302847,-0.535533,4.434841,-0.907409,4.763008,-0.749387,0.212512
73,-0.971986,4.883998,-0.353764,0.237339,-0.675115,5.490406,-0.913357,4.942827,-0.672864,0.388392
74,-0.987051,4.912689,-0.192706,0.364738,-1.421342,4.970895,-1.079604,4.979248,-0.782629,0.385709
75,-0.970305,5.121023,-0.106099,0.354380,-0.860268,4.179081,-1.091040,4.829477,-0.708506,0.176805
76,-0.884052,5.221034,0.015117,0.339975,-0.820031,4.980365,-1.085125,4.877070,-0.623359,0.209983
77,-0.997346,5.194806,-0.166813,0.431436,-2.084787,6.210878,-1.357941,5.192865,-0.856819,0.536964
78,-1.190440,5.387939,-0.257619,0.487539,-1.566663,6.224813,-1.471252,5.466231,-0.887464,0.780617
79,-1.211831,5.544061,-0.250014,0.522835,-0.903778,5.279699,-1.412641,5.484877,-0.724019,0.714714
80,-1.364862,5.466184,-0.244930,0.473971,-2.437790,5.722655,-1.698987,5.593693,-0.961320,0.756136
81,-1.511204,5.397549,-0.249092,0.383960,-1.449951,6.384279,-1.717610,5.829857,-0.875349,0.934214
82,-1.574019,5.329987,-0.230942,0.306437,-1.562143,5.487805,-1.750578,5.825491,-0.814825,0.825751
83,-1.600633,5.366286,-0.211733,0.466148,-1.727092,5.430003,-1.808489,5.800715,-0.788680,0.706680
84,-1.535121,5.460005,-0.247554,0.556334,-1.970744,5.346630,-1.906082,5.753548,-0.809450,0.575980
85,-1.636985,5.573256,-0.128594,0.578668,-1.599352,5.135751,-1.899973,5.659483,-0.712891,0.407759
86,-1.720099,5.511796,-0.346262,0.539564,-1.869152,6.598218,-1.948333,5.901899,-0.687459,0.631414
87,-1.598444,5.621317,-0.137814,0.678655,-2.602228,6.155045,-2.148477,6.007707,-0.833202,0.678738
88,-1.541080,5.660245,-0.279334,0.738195,-2.580644,5.649507,-2.310132,5.979904,-0.920089,0.572616
89,-1.630723,5.608180,-0.160454,0.734064,-1.543740,6.062116,-2.209383,6.042768,-0.706287,0.578830
90,-1.647647,5.726727,-0.078869,0.790740,-1.504657,6.618284,-2.105903,6.216888,-0.513170,0.707757
91,-1.531337,5.797225,-0.169838,0.854602,-1.423407,6.651723,-1.992439,6.369414,-0.330400,0.798433
92,-1.449572,5.959106,-0.168543,0.767032,-1.548553,6.197520,-1.918383,6.392729,-0.211612,0.735733
93,-1.639384,6.159980,0.038161,0.572538,-2.339492,6.274811,-2.029354,6.423302,-0.311226,0.688038
94,-1.693826,6.243325,0.030994,0.470156,-1.049623,6.475583,-1.833485,6.488396,-0.059453,0.683923
95,-1.746701,6.440843,-0.019847,0.345972,-1.654945,6.617422,-1.798004,6.570403,-0.013503,0.699025
96,-1.695494,6.545075,0.031766,0.393522,-1.982370,6.204703,-1.840451,6.542490,-0.059087,0.590529
97,-1.618081,6.608773,0.113790,0.222794,-1.868474,7.562282,-1.851326,6.817281,-0.064595,0.829820
98,-1.551448,6.660607,0.184583,0.443639,-0.552423,5.870847,-1.564661,6.669103,0.260531,0.573424
99,-1.654040,6.543630,0.109872,0.449131,-1.533032,5.778391,-1.537356,6.513556,0.261919,0.337293
100,-1.819788,6.512064,0.301489,0.558167,-0.966876,6.495899,-1.388942,6.535746,0.397485,0.324494
101,-1.706824,6.668870,0.251803,0.596952,-1.377471,6.214292,-1.355543,6.488725,0.390442,0.236347
102,-1.517434,6.724684,0.260507,0.502218,-1.907147,5.626427,-1.449131,6.313420,0.243329,0.015688
103,-1.485868,7.025475,0.158645,0.799837,-0.778742,6.788681,-1.279724,6.421358,0.404243,0.133670
104,-1.467277,7.091949,0.329261,0.851539,-0.876290,7.271035,-1.157784,6.622522,0.494657,0.341970
105,-1.445548,7.209745,0.288567,0.706318,-1.038703,6.459163,-1.092686,6.612357,0.511996,0.292764
106,-1.443574,7.236390,0.352902,0.862789,-0.841089,7.572603,-0.996486,6.850686,0.561909,0.524641
107,-1.471271,7.304322,0.319975,0.815761,-1.672497,7.089753,-1.104714,6.945053,0.379540,0.571118
108,-1.486617,7.481087,0.214511,0.742813,-2.278320,8.188828,-1.338821,7.268635,0.077777,0.866680
109,-1.544816,7.621446,0.262043,0.874697,-1.649824,7.147676,-1.402627,7.308679,-0.001621,0.814966
110,-1.674186,7.430452,0.278178,0.952244,-1.438342,6.665570,-1.410773,7.227463,-0.010477,0.634489
111,-1.542486,7.455855,0.187488,0.880181,-1.503282,6.713504,-1.432358,7.161252,-0.033257,0.490674
112,-1.527441,7.586818,0.298220,0.897777,-2.197255,7.661263,-1.606698,7.311581,-0.222941,0.602990
113,-1.603645,7.564801,0.161950,0.706652,-1.887226,8.129245,-1.686979,7.541949,-0.287259,0.791627
114,-1.361801,7.578107,0.270561,0.667193,-2.187169,7.928578,-1.821574,7.690155,-0.404687,0.868207
115,-1.311264,7.826629,0.117093,0.946797,-0.515405,7.817667,-1.559650,7.786113,-0.069280,0.878342
116,-1.329418,7.849727,0.128066,0.928403,-1.072520,7.702544,-1.455635,7.835458,0.053775,0.835651
117,-1.175115,7.955072,0.102384,1.030832,-1.986377,8.125566,-1.570646,7.965403,-0.079756,0.887095
118,-1.162320,7.917070,-0.068466,1.131866,-0.680924,8.003350,-1.377040,8.042714,0.143833,0.874451
119,-0.997500,8.074354,0.056514,1.173899,-1.135405,7.545588,-1.311626,7.998891,0.200434,0.728853
120,-1.052193,8.166031,0.192830,1.250891,-0.887033,8.601036,-1.200740,8.190624,0.301195,0.860675
121,-0.980171,8.317314,0.042964,1.364806,-1.209427,8.861584,-1.179334,8.408031,0.291530,1.006354
122,-0.857354,8.386791,0.137935,1.328708,-1.034870,8.515527,-1.124288,8.510207,0.320250,1.008063
123,-0.815113,8.523517,0.004507,1.316563,0.324127,7.131515,-0.774207,8.278786,0.673030,0.639565
124,-0.727688,8.760886,-0.131328,1.269619,-1.228047,9.687868,-0.823929,8.644796,0.543229,0.974595
125,-0.630519,9.002990,-0.119263,1.400828,-0.634637,9.682569,-0.739298,8.953407,0.576845,1.208798
126,-0.657315,9.075149,0.061832,1.398743,-1.106715,8.620332,-0.777072,8.972349,0.470966,1.095732
127,-0.741789,9.299467,0.051945,1.628539,-0.148700,9.428036,-0.599447,9.159644,0.615743,1.181938
128,-0.596205,9.412770,-0.133533,1.529581,-0.522601,9.301500,-0.534444,9.283151,0.619547,1.187832
129,-0.527117,9.553267,-0.058730,1.679678,-0.590965,9.830840,-0.499093,9.498247,0.590039,1.294659
130,-0.708469,9.708846,-0.181926,1.694201,-0.590469,9.825184,-0.473858,9.672055,0.552584,1.343843
131,-0.774673,10.108112,-0.308728,1.561286,0.052816,9.755973,-0.312741,9.795107,0.669999,1.331273
132,-0.900015,10.494532,-0.210155,1.501840,-0.791261,11.467468,-0.368240,10.273876,0.534126,1.714650
133,-0.851869,10.773331,-0.129675,1.594865,-0.831998,10.779005,-0.430960,10.520266,0.405315,1.797755
134,-0.838131,11.006263,-0.158007,1.607070,-0.993304,11.064105,-0.525807,10.781794,0.255157,1.888433
135,-0.979031,11.427568,-0.231301,1.570924,-1.388664,11.735422,-0.699779,11.142373,0.033890,2.078917
136,-1.021762,11.488279,-0.165612,1.650089,-1.055200,11.156466,-0.776962,11.306746,-0.055478,2.030648
137,-0.819216,11.687295,-0.293019,1.791493,-1.247104,13.058234,-0.886836,11.857516,-0.171195,2.416313
138,-0.840553,11.967776,-0.501021,1.663079,-0.173623,12.126684,-0.739956,12.105331,0.010709,2.423172
139,-0.686415,12.182601,-0.486491,1.834437,-0.181346,12.084471,-0.613688,12.288550,0.149575,2.357622
140,-0.844475,12.128884,-0.530258,1.715803,0.454378,11.803698,-0.362251,12.362496,0.411872,2.178139
141,-0.965271,12.148339,-0.556890,1.649350,-0.096407,12.232577,-0.270616,12.502225,0.467828,2.091530
142,-1.021847,12.299807,-0.478272,1.604117,-0.688244,13.106792,-0.328118,12.800170,0.352157,2.190015
143,-1.023666,12.435246,-0.573618,1.576604,-0.742127,11.668982,-0.393778,12.715981,0.240269,1.853724
144,-0.997874,12.613667,-0.588537,1.510663,-1.236063,12.912320,-0.564285,12.903816,0.024497,1.856456
145,-1.069549,12.714620,-0.541681,1.561482,-1.694136,13.000360,-0.816098,13.069453,-0.257525,1.834263
146,-0.873547,12.917730,-0.711581,1.579220,-1.788955,14.501416,-1.054527,13.533243,-0.493420,2.145236
147,-0.721138,13.009058,-0.936148,1.491382,-0.811633,12.128126,-1.038246,13.384070,-0.420633,1.741832
148,-0.821655,13.139438,-0.923633,1.514347,-1.304463,12.712731,-1.130644,13.368388,-0.476463,1.531238
149,-0.909459,13.227774,-0.832883,1.517936,0.023043,13.638015,-0.908526,13.547673,-0.177247,1.560256
150,-0.872376,13.392824,-0.717147,1.691069,-1.061522,13.666214,-0.956626,13.695281,-0.210939,1.550920
151,-0.970714,13.535067,-0.834037,1.616817,-1.434849,13.832252,-1.080370,13.846304,-0.324796,1.546406
152,-0.950097,13.687274,-0.811074,1.601570,-1.355485,14.118405,-1.167335,14.027321,-0.385229,1.575662
153,-0.965951,13.658176,-0.839385,1.513367,-1.161420,13.322960,-1.195879,13.991338,-0.374161,1.360982
154,-1.054532,13.776521,-0.874499,1.624106,-0.775942,13.424574,-1.130595,13.969606,-0.260248,1.185921
155,-1.197536,13.988111,-0.825457,1.563728,-1.314531,14.911514,-1.192079,14.273077,-0.299580,1.390984
156,-1.338737,14.335565,-0.715090,1.736270,-1.653273,14.251287,-1.318873,14.376047,-0.406987,1.350911
157,-1.455162,14.621867,-0.771859,1.809391,-1.116012,14.597852,-1.304879,14.530610,-0.346324,1.372509
158,-1.402482,14.813574,-0.688450,1.759921,-1.764200,15.179147,-1.434877,14.782672,-0.452101,1.499855
159,-1.428243,15.013897,-0.722819,1.914842,-1.986536,14.428225,-1.593812,14.819385,-0.578242,1.374216
160,-1.406308,15.291391,-0.687443,1.886047,-1.155097,16.151806,-1.540137,15.225149,-0.454569,1.671854
161,-1.223498,15.314354,-0.729335,1.837869,-0.410238,14.073706,-1.321663,15.096231,-0.161824,1.343424
162,-1.245048,15.472460,-0.565523,1.987973,-1.062294,14.682598,-1.275969,15.107523,-0.093192,1.206940
163,-1.358989,15.624818,-0.698169,2.103432,-2.085702,16.607482,-1.465024,15.537937,-0.292551,1.550473
164,-1.232524,15.796655,-0.665319,2.096203,-0.781611,16.433994,-1.334247,15.859381,-0.115047,1.735036
165,-1.273256,16.053187,-0.727380,2.139875,-1.191875,15.597290,-1.311198,15.935070,-0.076721,1.626542
166,-1.347397,16.228856,-0.788329,2.025225,-1.316146,15.838619,-1.318258,16.039541,-0.076042,1.562007
167,-1.473341,16.538891,-0.725118,1.927349,-1.297396,16.605282,-1.319470,16.287706,-0.068952,1.664011
168,-1.375683,16.869941,-0.878492,2.013462,-0.743085,17.149620,-1.195387,16.610287,0.076325,1.837243
169,-1.497074,17.312626,-0.813352,2.211116,-0.821335,17.544694,-1.105474,16.962580,0.167589,2.024215
170,-1.636379,17.531327,-0.835543,2.089664,-1.311238,18.315004,-1.138683,17.423239,0.112166,2.310645
171,-1.749764,17.956659,-0.991301,2.195100,-0.914004,17.854644,-1.079533,17.699291,0.165333,2.360544
172,-1.867499,18.280446,-0.940702,1.995359,-2.289186,18.273671,-1.338345,18.011318,-0.140073,2.444811
173,-2.098539,18.432564,-1.075170,1.958342,-2.266851,18.608442,-1.557706,18.334986,-0.367847,2.532643
174,-2.215232,18.678678,-1.036816,2.061476,-1.778341,19.062740,-1.635775,18.694799,-0.413638,2.650824
175,-2.008427,18.919566,-0.777459,2.102698,-2.049853,18.732983,-1.760833,18.908931,-0.506470,2.594311
176,-1.935201,19.293886,-0.717481,2.216053,-2.573811,18.519496,-1.982665,19.022656,-0.696343,2.432698
177,-1.882316,19.502810,-0.642550,2.144324,-1.053822,18.732601,-1.828087,19.146166,-0.447653,2.299863
178,-2.085129,19.861673,-0.903534,2.182181,-2.138792,19.493698,-1.932570,19.402547,-0.513890,2.329140
179,-2.195477,19.995139,-0.749309,2.362631,-2.538346,20.132902,-2.108449,19.747163,-0.651971,2.453037
180,-2.402915,20.338707,-0.644608,2.333104,-2.394473,20.291825,-2.223234,20.059689,-0.706973,2.527598
181,-2.629222,20.726618,-0.721303,2.257089,-2.704432,21.224393,-2.386111,20.517230,-0.809216,2.754735
182,-2.760483,20.757109,-0.810003,2.299503,-1.665608,20.127149,-2.287069,20.643250,-0.609605,2.588966
183,-2.971133,20.835800,-0.973676,2.420073,-2.223789,20.924677,-2.320131,20.907206,-0.578661,2.594578
184,-3.115272,21.256921,-0.956285,2.529016,-3.373496,21.279043,-2.601540,21.191899,-0.826609,2.622568
185,-3.334635,21.572748,-0.937191,2.439560,-3.775188,22.380727,-2.929187,21.662221,-1.098341,2.853349
186,-3.231187,21.795390,-0.930416,2.479571,-3.157171,20.958241,-3.065552,21.725401,-1.127769,2.606940
187,-3.281441,21.834558,-1.003684,2.530114,-2.981444,21.429522,-3.134118,21.861115,-1.078731,2.468315
188,-3.427653,22.028186,-1.013969,2.527435,-3.093419,21.769738,-3.208628,22.032000,-1.041726,2.384077
189,-3.491711,22.331631,-0.994140,2.501474,-3.401388,22.707501,-3.332694,22.368559,-1.063790,2.492944
190,-3.507206,22.763316,-1.093142,2.457473,-4.313940,23.228821,-3.635528,22.755049,-1.281693,2.645118
191,-3.649971,23.029682,-1.153576,2.424803,-3.038376,23.376799,-3.600823,23.099780,-1.101038,2.734095
192,-3.776481,23.348944,-1.074586,2.385660,-4.511021,22.899363,-3.890591,23.266790,-1.300317,2.616079
193,-4.017992,23.703954,-0.940775,2.544298,-5.027770,24.239654,-4.246782,23.688113,-1.551167,2.793232
194,-3.890851,24.069582,-1.155897,2.721128,-3.870006,23.953383,-4.282460,23.964280,-1.418688,2.789731
195,-3.961331,24.236794,-1.155619,2.883171,-3.650133,24.265995,-4.250480,24.248360,-1.225860,2.795395
196,-4.067932,24.406972,-1.170618,2.719741,-3.556712,23.314117,-4.189750,24.255340,-1.022531,2.493079
197,-4.099504,24.776887,-1.038742,2.728427,-3.641190,24.697014,-4.145860,24.547844,-0.860433,2.540991
198,-4.322048,25.202803,-1.048430,2.587476,-4.555455,24.989141,-4.304559,24.843979,-0.941019,2.587617
199,-4.380721,25.696255,-0.996188,2.608160,-3.152833,26.185702,-4.118905,25.345924,-0.630722,2.857349
